기존색,빈도,분류,대상변수,deltaE,분류근거,사용위치_예시(최대5)
#fff,227,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg,src/guide/guide.css:8 | src/guide/guide.css:18 | src/guide/guide.css:24 | src/guide/guide.css:115 | src/guide/guide.css:134 외 222건
#111,38,UI,--text,10.4,ΔE(Lab)=10.4 → --text,src/css/engine-common.css:157 | src/css/engine-common.css:290 | src/css/engine-common.css:292 | src/css/engine-common.css:354 | src/css/engine-common.css:930 외 33건
#1A1F1E,32,UI,--text,5.3,ΔE(Lab)=5.3 → --text,src/guide/guide.css:12 | src/guide/guide.css:245 | src/css/engine-common.css:936 | src/css/work-detail.css:7 | src/css/work-detail.css:75 외 27건
#97A8A6,31,UI,--text-muted,10.3,ΔE(Lab)=10.3 → --text-muted,src/css/engine-common.css:941 | src/css/common.css:19 | src/css/work-detail.css:92 | src/css/work-detail.css:170 | src/css/work-detail.css:185 외 26건
#3A8C82,27,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent,index.php:309 | src/guide/index.php:36 | src/guide/_head.php:9 | src/css/dashboard.css:124 | src/css/engine-common.css:34 외 22건
#f0f2f1,24,UI,--bg,1.4,ΔE(Lab)=1.4 → --bg,src/components/mailform/order.php:27 | src/components/mailform/order.php:28 | src/components/mailform/order.php:31 | src/components/mailform/order.php:32 | src/components/mailform/order.php:35 외 19건
#999,23,UI,--text-muted,6.2,ΔE(Lab)=6.2 → --text-muted,src/css/dashboard.css:625 | src/css/dashboard.css:653 | src/css/company.css:5 | src/css/company.css:333 | src/css/index.css:711 외 18건
#E0E5E4,19,UI,--accent-tint,3.2,ΔE(Lab)=3.2 → --accent-tint,src/guide/guide.css:231 | src/guide/guide.css:303 | src/guide/guide.css:304 | src/css/common.css:22 | src/css/work-detail.css:107 외 14건
#e03030,18,CONTENT,,,6엔진 문살 stroke/fill 색상피커 기본값 (konvaStrokeColor/konvaFillColor/slatOverrideColor) - 캔버스 렌더링 + JSON 저장 파라미터,src/engine/square/square.php:492 | src/engine/square/square.php:494 | src/engine/square/square.php:511 | src/engine/triangle/triangle.php:461 | src/engine/triangle/triangle.php:463 외 13건
#2A7B70,17,UI,--accent,12.5,ΔE(Lab)=12.5 → --accent,src/css/nav.css:17 | src/css/nav.css:224 | src/css/nav.css:239 | src/admin/notice.php:70 | src/admin/notice.php:107 외 12건
"rgba(255,255,255,0.15)",16,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.15,src/css/engine-common.css:9 | src/css/engine-common.css:150 | src/css/engine-common.css:215 | src/css/engine-common.css:223 | src/css/engine-common.css:238 외 11건
#555,15,UI,--accent-hover,19.6,ΔE(Lab)=19.6 → --accent-hover,src/css/dashboard.css:656 | src/css/nav.css:165 | src/css/nav.css:199 | src/css/company.css:4 | src/css/index.css:49 외 10건
#ccc,15,UI,--border,4.6,ΔE(Lab)=4.6 → --border,src/css/engine-common.css:1716 | src/css/engine-common.css:1717 | src/css/engine-common.css:1718 | src/css/engine-common.css:1719 | src/admin/svg_motifs.php:24 외 10건
#ffffff,15,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; works.php work_panel_title_color 등 작품패널 커스텀 색(DB 데이터) 1건 포함 - 값 자체는 범용 흰색이라 전체 배제하지 않음,src/css/index.css:399 | src/css/index.css:438 | src/admin/works.php:133 | src/admin/works.php:263 | src/components/mailform/reset.php:7 외 10건
#f9f9f9,14,UI,--bg,1.9,ΔE(Lab)=1.9 → --bg,src/css/collection.css:2 | src/css/common.css:11 | src/css/company.css:240 | src/css/work-detail.css:4 | src/css/work-detail.css:29 외 9건
#e03,14,UNSURE,--text-muted,92.0,"ΔE(Lab)=92.0 → --text-muted; 채도(C*)=88.1, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/collection.css:106 | src/css/collection.css:266 | src/engine/square/square.php:514 | src/engine/square/square.php:514 | src/engine/triangle/triangle.php:482 외 9건
#c8102e,13,CONTENT,,,6엔진 면색 피커 기본값 (faceColorInput) + guide 데모 스와치 - 캔버스 렌더링 + JSON 저장 파라미터,src/guide/studio-classic.php:95 | src/engine/square/square.php:642 | src/engine/square/square.php:643 | src/engine/triangle/triangle.php:611 | src/engine/triangle/triangle.php:612 외 8건
#000,13,UI,--text,15.3,ΔE(Lab)=15.3 → --text,src/css/engine-common.css:317 | src/css/engine-common.css:491 | src/css/engine-common.css:514 | src/css/engine-common.css:545 | src/css/engine-common.css:587 외 8건
#333,13,UI,--text,7.0,ΔE(Lab)=7.0 → --text,src/css/nav.css:78 | src/css/nav.css:233 | src/css/common.css:122 | src/css/index.css:316 | src/admin/ai_tuning.php:43 외 8건
"rgba(255,255,255,0.97)",13,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.97,src/css/nav.css:123 | src/engine/square/square.php:487 | src/engine/square/square.php:506 | src/engine/triangle/triangle.php:456 | src/engine/triangle/triangle.php:474 외 8건
#aaa,12,UI,--text-muted,11.0,ΔE(Lab)=11.0 → --text-muted,src/css/dashboard.css:657 | src/css/nav.css:202 | src/css/nav.css:260 | src/css/index.css:30 | src/admin/notice.php:51 외 7건
"rgba(255,255,255,0.55)",12,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.55,src/css/engine-common.css:1161 | src/css/engine-common.css:1201 | src/css/engine-common.css:1396 | src/css/engine-common.css:1398 | src/css/engine-common.css:1399 외 7건
"rgba(0,0,0,0.13)",12,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.13,src/engine/square/square.php:489 | src/engine/square/square.php:508 | src/engine/triangle/triangle.php:458 | src/engine/triangle/triangle.php:476 | src/engine/diamond/diamond.php:463 외 7건
#4a4a4a,12,CONTENT,,,6엔진 문틀색 피커 기본값 (muntolColorInput) - 캔버스 렌더링 + JSON 저장 파라미터,src/engine/square/square.php:634 | src/engine/square/square.php:635 | src/engine/triangle/triangle.php:602 | src/engine/triangle/triangle.php:603 | src/engine/diamond/diamond.php:607 외 7건
#cc2200,11,UNSURE,--text-muted,90.6,"ΔE(Lab)=90.6 → --text-muted; 채도(C*)=85.1, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:317 | src/guide/guide.css:400 | src/guide/index.php:45 | src/guide/_head.php:17 | src/css/nav.css:16 외 6건
#e05218,11,UNSURE,--text-muted,83.4,"ΔE(Lab)=83.4 → --text-muted; 채도(C*)=78.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",color-migration/palette_root.css:38 | src/css/engine-common.css:654 | src/css/company.css:335 | src/css/index.css:713 | src/css/index.css:714 외 6건
#c00,11,UNSURE,--text-muted,94.0,"ΔE(Lab)=94.0 → --text-muted; 채도(C*)=88.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/admin/render_settings.php:31 | src/admin/render_settings.php:34 | src/admin/blog.php:67 | src/admin/blog.php:68 | src/admin/collection_filters.php:27 외 6건
"rgba(0,0,0,0.5)",10,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.5,src/css/dashboard.css:565 | src/css/engine-common.css:628 | src/css/engine-common.css:1436 | src/css/engine-common.css:1566 | src/css/company.css:34 외 5건
#888,9,UI,--text-muted,6.1,ΔE(Lab)=6.1 → --text-muted,src/css/dashboard.css:113 | src/admin/render_settings.php:102 | src/admin/ai_tuning.php:30 | src/admin/ai_tuning.php:248 | src/admin/ai_stats.php:26 외 4건
#666,9,UI,--text-muted,17.4,ΔE(Lab)=17.4 → --text-muted,src/css/nav.css:252 | src/css/company.css:316 | src/css/index.css:650 | src/css/index.css:694 | src/admin/ai_tuning.php:23 외 4건
#5A6B69,9,UI,--accent,16.3,ΔE(Lab)=16.3 → --accent,src/css/common.css:18 | src/css/work-detail.css:192 | src/css/index.css:500 | src/css/index.css:579 | src/css/work.css:30 외 4건
"rgba(255,255,255,0.9)",8,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.9,src/css/collection.css:255 | src/css/collection.css:310 | src/css/engine-common.css:225 | src/css/engine-common.css:238 | src/css/engine-common.css:277 외 3건
#f2f3f4,8,UI,--bg,0.3,ΔE(Lab)=0.3 → --bg,src/components/mailform/reset.php:4 | src/components/mailform/reset.php:5 | src/components/mailform/welcome.php:4 | src/components/mailform/welcome.php:5 | src/components/mailform/order.php:4 외 3건
"rgba(255,255,255,0.85)",7,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.85,src/css/dashboard.css:190 | src/css/dashboard.css:224 | src/css/engine-common.css:47 | src/css/engine-common.css:652 | src/css/engine-common.css:685 외 2건
#ddd,7,UI,--border,2.9,ΔE(Lab)=2.9 → --border,src/css/dashboard.css:206 | src/admin/render_settings.php:67 | src/admin/render_settings.php:75 | src/admin/render_settings.php:95 | src/css/work.css:95 외 2건
#f5f5f5,7,UI,--bg,0.7,ΔE(Lab)=0.7 → --bg,src/css/collection.css:203 | src/admin/render_settings.php:31 | src/admin/blog.php:67 | src/admin/collection_filters.php:27 | src/admin/pattern_categories.php:31 외 2건
#5A4DB8,6,UNSURE,--text-muted,64.4,"ΔE(Lab)=64.4 → --text-muted; 채도(C*)=64.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:333 | color-migration/palette_root.css:38 | src/guide/guide.css:136 | src/guide/index.php:69 | src/guide/_head.php:37 외 1건
#eee,6,UI,--bg,2.1,ΔE(Lab)=2.1 → --bg,src/guide/faq.php:81 | src/css/dashboard.css:653 | src/css/admin/cost_table.css:24 | src/css/admin/cost_table.css:35 | src/mypage/dashboard.php:44 외 1건
"rgba(0,0,0,0.06)",6,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.06,src/css/engine-common.css:252 | src/css/nav.css:182 | src/css/nav.css:221 | src/css/company.css:186 | src/components/auth_modal.php:8 외 1건
