[2026-06-01 15:57:09] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /
[2026-06-01 15:57:10] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /
[2026-06-01 16:00:54] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /
[2026-06-01 16:00:55] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:22] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /
[2026-06-01 16:07:24] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:27] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:50] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:51] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:52] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:52] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:52] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:52] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:52] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:53] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:53] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:53] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:53] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
[2026-06-01 16:07:53] IP: 127.0.0.1        | OS: Windows 10/11    | Browser: Chrome 148           | Page: /src/engine/sambuntok/sambuntok.php
